key,auc,auprc,accuracy,precision_,recall,f1,mcc,brier,specificity,threshold,train_time,ms_per_mol,n_params,epochs_run,stopped_early
HIV_Uni-Mol_2_42,0.649591184,0.290055319,0.976,0.7273,0.2759,0.4,0.4388,0.088472396,0.9969,0.981,209.8928354,4.866899103,3200649,,
HIV_Uni-Mol_2_123,0.638034188,0.121221449,0.962,0.5556,0.1282,0.2083,0.2543,0.05288009,0.9958,0.9864,224.5208766,4.651507843,3200649,,
HIV_Uni-Mol_2_456,0.673185992,0.129368658,0.918,0.1404,0.1951,0.1633,0.1232,0.055000242,0.9489,0.3109,227.9350085,4.603925915,3200649,,
HIV_Uni-Mol_2_789,0.678806798,0.271732211,0.958,0.44,0.2821,0.3438,0.3317,0.05491887,0.9854,0.6522,230.360939,4.645089668,3200649,,
HIV_Uni-Mol_2_1024,0.593380447,0.063528646,0.962,0.2,0.1034,0.1364,0.1258,0.052934743,0.9876,0.6551,227.4934158,4.679907748,3200649,,
HIV_Uni-Mol_2_2048,0.565829918,0.031120371,0.796,0.0455,0.375,0.0811,0.0697,0.08634419,0.8064,0.3099,221.8166428,4.456451777,3200649,,
HIV_Uni-Mol_2_3141,0.537956545,0.078144258,0.966,0.2857,0.0645,0.1053,0.1234,0.070635267,0.9948,0.9611,222.555547,4.595734637,3200649,,
HIV_Uni-Mol_2_9999,0.647591464,0.239122591,0.974,0.7273,0.2581,0.381,0.4237,0.038011905,0.9969,0.9208,220.2722044,4.817977504,3200649,,
HIV_Uni-Mol_2_7777,0.647477392,0.134120352,0.8879,0.1458,0.3182,0.2,0.1617,0.101025566,0.9141,0.4852,219.5547037,4.833103335,3200649,,
HIV_Uni-Mol_2_5555,0.554066736,0.085968446,0.951,0.2353,0.1,0.1404,0.131,0.110825673,0.9864,0.4769,220.9311094,5.067993024,3200649,,
HIV_Uni-Mol_2_1111,0.727830468,0.23049275,0.968,0.6154,0.2286,0.3333,0.3624,0.078306228,0.9948,0.9042,221.2667632,4.553775328,3200649,,
HIV_Uni-Mol_2_2222,0.692613832,0.174774524,0.931,0.1897,0.3333,0.2418,0.2176,0.070552476,0.9514,0.4657,220.9072418,4.753759817,3200649,,
HIV_Uni-Mol_2_3333,0.652316802,0.193644495,0.96,0.3684,0.2,0.2593,0.2525,0.112888291,0.9876,0.9048,219.7996418,4.503219047,3200649,,
HIV_Uni-Mol_2_4444,0.576666353,0.049280273,0.885,0.0729,0.2121,0.1085,0.0728,0.112650909,0.908,0.4729,233.2826326,4.600317941,3200649,,
HIV_Uni-Mol_2_6666,0.526891787,0.05077784,0.931,0.1064,0.1562,0.1266,0.0939,0.092924528,0.9566,0.4939,224.9795318,4.506583332,3200649,,
HIV_Uni-Mol_2_8888,0.69091279,0.239960281,0.944,0.3404,0.3902,0.3636,0.3353,0.067813702,0.9677,0.4648,219.9983392,4.72799964,3200649,,
HIV_Uni-Mol_2_314,0.615391092,0.108689225,0.95,0.24,0.1622,0.1935,0.1722,0.089790635,0.9803,0.934,223.3997185,4.558122264,3200649,,
HIV_Uni-Mol_2_271,0.72658064,0.228481381,0.97,0.4211,0.2963,0.3478,0.3383,0.044446494,0.9887,0.6743,223.8240433,4.870497991,3200649,,
HIV_Uni-Mol_2_1618,0.629541415,0.111430416,0.957,0.2308,0.2069,0.2182,0.1964,0.065948486,0.9794,0.5818,221.6697698,4.903698464,3200649,,
HIV_Uni-Mol_2_1729,0.629560891,0.182777232,0.977,0.7143,0.1923,0.303,0.3631,0.106205694,0.9979,0.696,226.0981171,4.720330012,3200649,,
HIV_PharmaJEGNN_3_42,0.711952832,0.207334621,0.9688,0.4286,0.2069,0.2791,0.2836,0.210588127,0.9917,0.8032,261.2024667,73.86902323,4221185,,
HIV_PharmaJEGNN_3_123,0.694558315,0.224457522,0.9378,0.2553,0.3077,0.2791,0.248,0.089276068,0.9634,0.71,262.8687749,37.0535703,4221185,,
HIV_PharmaJEGNN_3_456,0.656944444,0.139331696,0.9105,0.1549,0.275,0.1982,0.1619,0.10132809,0.9371,0.5022,262.3914509,35.92362362,4221185,,
HIV_PharmaJEGNN_3_789,0.778349962,0.277343038,0.9337,0.3043,0.5385,0.3889,0.373,0.14177005,0.9498,0.8491,263.4540958,35.78128261,4221185,,
HIV_PharmaJEGNN_3_1024,0.643963732,0.088319841,0.9638,0.3158,0.2069,0.25,0.2378,0.079660513,0.9865,0.9211,263.8219733,32.54058813,4221185,,
HIV_PharmaJEGNN_3_2048,0.580108359,0.119365819,0.9718,0.3333,0.1667,0.2222,0.2227,0.132915348,0.9917,0.912,266.5538015,34.56829811,4221185,,
HIV_PharmaJEGNN_3_3141,0.629717533,0.156597761,0.9649,0.375,0.1935,0.2553,0.253,0.076921426,0.9896,0.8767,264.5119979,34.521354,4221185,,
