key,pearson_r,mae,rmse,train_time,ms_per_mol,n_params,epochs_run,stopped_early,dataset,model,level_id,seed
QM9_DimeNet_2_5555,0.8248558044433594,0.010400214232504368,0.014074966973338574,135.46500325202942,2.0410351073219744,878849,57,1,QM9,DimeNet,2,5555
QM9_DimeNet_2_6666,0.71962571144104,0.010818202048540115,0.01407502125226355,137.30699944496155,2.0428584475415223,878849,58,1,QM9,DimeNet,2,6666
QM9_DimeNet_2_7777,0.7596901059150696,0.010391338728368282,0.013272988483810262,82.12700009346008,2.038204254281625,878849,35,1,QM9,DimeNet,2,7777
QM9_DimeNet_2_789,0.7851907014846802,0.01028172206133604,0.013615488746676296,76.87599897384644,2.0518423883237316,878849,33,1,QM9,DimeNet,2,789
QM9_DimeNet_2_8888,0.7304811477661133,0.01050508301705122,0.014617730280814733,70.83900451660156,2.052070045560207,878849,30,1,QM9,DimeNet,2,8888
QM9_DimeNet_2_9999,0.8524267673492432,0.009542534127831459,0.01266672108262085,186.87800097465515,2.0336802303493005,878849,80,0,QM9,DimeNet,2,9999
QM9_DimeNet_3_1024,0.70343017578125,0.00979713723063469,0.013363511759297021,94.00598907470703,4.210463277813668,878849,31,1,QM9,DimeNet,3,1024
QM9_DimeNet_3_1111,0.7852410674095154,0.00950045045465231,0.012899496807722776,130.26100301742554,4.340403344357123,878849,52,1,QM9,DimeNet,3,1111
QM9_DimeNet_3_123,0.7872461080551147,0.01078935619443655,0.014184473590553894,112.00011563301086,4.1019400047078705,878849,47,1,QM9,DimeNet,3,123
QM9_DimeNet_3_1618,0.7870819568634033,0.008942519314587116,0.011913501103846497,81.4159984588623,4.049419718057109,878849,33,1,QM9,DimeNet,3,1618
QM9_DimeNet_3_1729,0.8581603765487671,0.0113903833553195,0.014844477668606984,73.09299802780151,4.076669789363102,878849,30,1,QM9,DimeNet,3,1729
QM9_DimeNet_3_2048,0.8366584777832031,0.010613643564283848,0.014157273352590989,208.48704409599304,4.15227890855517,878849,74,1,QM9,DimeNet,3,2048
QM9_DimeNet_3_2222,0.775111198425293,0.009141414426267147,0.012259090992997199,84.20200109481812,4.094150503759426,878849,34,1,QM9,DimeNet,3,2222
QM9_DimeNet_3_271,0.7750178575515747,0.008558843284845352,0.011978345006815815,198.2659318447113,4.076041121044657,878849,80,0,QM9,DimeNet,3,271
QM9_DimeNet_3_314,0.8483895063400269,0.009881550446152687,0.01372704857663487,198.0119981765747,4.056270165377126,878849,80,0,QM9,DimeNet,3,314
QM9_DimeNet_3_3141,0.7475689053535461,0.01104018371552229,0.014926693488479395,140.61803722381592,4.311869811313151,878849,49,1,QM9,DimeNet,3,3141
QM9_DimeNet_3_3333,0.7750375866889954,0.00928855873644352,0.01245263794607789,196.5619933605194,4.079911376549536,878849,80,0,QM9,DimeNet,3,3333
QM9_DimeNet_3_42,0.7726249694824219,0.01107103656977415,0.015263168660116332,157.95399641990662,4.095021613059456,878849,66,1,QM9,DimeNet,3,42
QM9_DimeNet_3_4444,0.7858202457427979,0.00985591672360897,0.012910408810714705,197.33299922943115,4.060334826211034,878849,80,0,QM9,DimeNet,3,4444
QM9_DimeNet_3_456,0.7442086935043335,0.010040907189249992,0.014036589003652409,109.32799959182739,4.100774480024887,878849,46,1,QM9,DimeNet,3,456
QM9_DimeNet_3_5555,0.8362918496131897,0.010128669440746307,0.013626232125204009,195.89799785614014,4.062089616058236,878849,80,0,QM9,DimeNet,3,5555
QM9_DimeNet_3_6666,0.6906460523605347,0.010454058647155762,0.013913292367399415,117.22699999809265,4.0694809962467,878849,48,1,QM9,DimeNet,3,6666
